NO_OF_FRAMES	1501
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-03-22, 10:59:44	7136.14803775
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
300	2.99000	01:04:03.06:00	207.581	1703.939	92.911	171.239	1650.647	147.059	157.608	1657.725	34.311	354.303	1429.225	91.166	395.494	1219.613	107.232	370.633	1091.050	98.682	388.503	1026.499	100.212	148.961	1000.590	104.507	154.963	1142.904	95.944	168.279	1297.556	90.705	398.310	1297.433	183.996	286.029	1399.447	296.506	237.356	1268.848	304.494	353.820	1258.386	298.705	313.303	1026.649	256.480	272.579	1043.699	346.439	258.311	855.445	347.060	211.309	871.454	276.556	273.239	1380.115	-97.579	403.251	1302.435	20.464	237.016	1276.736	-93.419	367.604	1262.053	-92.548	205.330	1348.437	9.762	319.950	1009.521	-65.720	290.092	1040.577	-149.295	234.976	1004.005	-144.237	250.249	826.608	-160.324	199.438	847.482	-91.136	187.505	1007.829	208.553	187.216	1000.141	-12.683	351.421	1030.065	212.661	366.440	1019.664	-25.599	206.878	802.307	261.883	342.561	879.687	258.266	277.552	451.967	230.903	279.991	447.066	125.072	262.938	310.971	202.571	295.913	41.906	225.439	360.816	8.586	185.991	141.824	6.977	169.741	176.776	20.359	156.644	195.264	5.072	231.012	209.333	711.332	-67.290	326.054	894.517	-77.864	268.579	451.381	-48.426	275.371	452.354	55.699	261.606	304.874	-25.718	309.676	42.861	-38.040	368.529	7.374	-4.059	147.024	4.535	11.797	180.140	20.096	7.574	207.552	11.264	-51.361	175.253	704.757	-83.147	203.399	653.826	-86.056	230.441	675.778	-114.973	192.231	715.755	268.259	241.107	663.217	272.211	266.519	686.618	303.276	221.576	1004.447	318.060	196.489	1359.655	181.703	293.385	1582.163	4.737	317.578	1572.776	144.532	171.454	738.374	-150.007	198.139	744.544	336.112
301	3.00000	01:04:03.06:01	207.992	1703.932	92.529	171.547	1650.693	146.648	158.097	1657.737	33.870	354.458	1429.075	91.080	395.469	1219.461	107.102	370.564	1090.922	98.453	388.408	1026.367	99.940	148.818	1000.516	104.083	154.875	1142.942	95.633	168.295	1297.596	90.424	398.314	1297.270	183.890	285.950	1399.326	296.338	237.218	1268.756	304.267	353.660	1258.228	298.546	313.069	1026.561	256.222	272.239	1043.566	346.103	257.998	855.320	346.744	211.044	871.289	276.201	273.453	1380.109	-97.812	403.383	1302.292	20.338	237.202	1276.715	-93.695	367.806	1262.017	-92.673	205.416	1348.497	9.487	320.011	1009.494	-65.715	290.342	1040.491	-149.389	235.180	1003.970	-144.420	250.389	826.520	-160.301	199.486	847.469	-91.242	187.344	1007.726	208.236	187.096	1000.115	-13.023	351.269	1030.024	212.362	366.334	1019.673	-25.988	206.772	802.253	261.519	342.432	879.671	257.921	277.985	452.019	230.781	280.406	447.068	124.969	263.322	311.034	202.523	295.970	41.905	225.420	360.832	8.576	185.988	141.923	7.163	169.888	176.902	20.431	156.695	195.325	5.082	231.034	209.210	711.224	-67.453	325.966	894.443	-78.109	268.982	451.366	-48.738	275.639	452.397	55.456	261.844	304.899	-26.000	309.543	42.860	-38.122	368.431	7.459	-4.033	146.614	4.029	11.763	179.730	19.923	7.354	207.370	10.989	-51.570	175.254	704.764	-83.196	203.336	653.868	-85.948	230.456	675.757	-114.861	192.100	715.585	267.870	241.063	663.072	271.857	266.436	686.536	302.962	221.265	1004.327	317.656	196.492	1359.649	181.454	293.858	1582.053	4.539	317.839	1572.745	144.387	171.537	738.361	-150.065	197.938	744.385	335.767
302	3.01000	01:04:03.06:02	208.383	1703.933	92.191	171.820	1650.725	146.253	158.549	1657.729	33.492	354.601	1428.992	90.945	395.427	1219.309	106.953	370.455	1090.837	98.187	388.285	1026.312	99.554	148.694	1000.503	103.745	154.779	1142.973	95.306	168.283	1297.605	90.132	398.273	1297.013	183.757	285.895	1399.174	296.135	237.027	1268.650	303.978	353.486	1258.112	298.474	312.730	1026.394	255.842	271.860	1043.421	345.775	257.685	855.205	346.441	210.779	871.160	275.857	273.644	1380.106	-98.033	403.420	1302.182	20.265	237.389	1276.725	-93.951	368.015	1261.970	-92.801	205.459	1348.553	9.228	320.098	1009.467	-65.725	290.556	1040.435	-149.477	235.362	1003.923	-144.557	250.566	826.452	-160.302	199.527	847.444	-91.353	187.221	1007.684	207.904	186.943	1000.118	-13.411	351.141	1029.956	212.067	366.233	1019.682	-26.322	206.685	802.166	261.174	342.299	879.648	257.609	278.332	452.065	230.636	280.858	447.047	124.863	263.632	311.073	202.471	295.995	41.916	225.403	360.697	8.603	185.741	141.970	7.268	169.943	176.906	20.495	156.738	195.355	5.103	231.032	209.146	711.094	-67.663	325.880	894.388	-78.350	269.359	451.337	-49.064	275.886	452.371	55.125	262.110	304.926	-26.280	309.454	42.780	-38.221	368.334	7.555	-4.053	146.279	3.429	11.770	179.383	19.735	7.156	207.195	10.752	-51.837	175.282	704.777	-83.226	203.352	653.896	-85.867	230.524	675.727	-114.759	191.937	715.430	267.442	241.007	662.951	271.461	266.332	686.422	302.620	220.933	1004.174	317.255	196.441	1359.620	181.200	294.308	1581.939	4.369	318.071	1572.693	144.260	171.680	738.326	-150.153	197.684	744.234	335.351
303	3.02000	01:04:03.06:03	208.783	1703.938	91.861	172.098	1650.790	145.910	158.994	1657.771	33.112	354.728	1428.875	90.829	395.383	1219.181	106.813	370.326	1090.753	97.927	388.151	1026.270	99.217	148.555	1000.467	103.384	154.698	1143.005	94.997	168.296	1297.629	89.868	398.263	1296.868	183.675	285.834	1399.076	295.980	236.864	1268.554	303.720	353.313	1257.991	298.338	312.325	1026.287	255.556	271.496	1043.293	345.442	257.322	855.069	346.101	210.517	871.019	275.450	273.835	1380.113	-98.257	403.444	1302.090	20.203	237.555	1276.721	-94.224	368.208	1261.912	-92.905	205.524	1348.588	8.967	320.172	1009.471	-65.767	290.755	1040.375	-149.564	235.569	1003.780	-144.710	250.736	826.403	-160.332	199.342	847.374	-91.982	187.059	1007.641	207.552	186.851	1000.087	-13.787	351.023	1029.890	211.754	366.163	1019.719	-26.633	206.565	802.107	260.844	342.169	879.615	257.244	278.629	452.115	230.526	281.301	447.017	124.701	263.934	311.133	202.381	295.993	41.939	225.387	360.828	8.532	185.950	141.957	7.297	169.968	176.906	20.473	156.794	195.372	5.087	231.040	209.195	710.985	-67.957	325.832	894.359	-78.557	269.707	451.312	-49.376	276.146	452.337	54.805	262.348	304.976	-26.586	309.378	42.739	-38.304	368.240	7.658	-4.036	145.955	3.000	11.631	179.010	19.597	6.929	207.017	10.495	-52.097	175.370	704.726	-83.316	203.449	653.929	-85.812	230.613	675.730	-114.706	191.755	715.301	266.999	240.863	662.866	271.061	266.103	686.341	302.223	220.616	1004.051	316.868	196.430	1359.623	180.962	294.715	1581.833	4.224	318.296	1572.636	144.162	171.773	738.280	-150.207	197.376	744.055	334.898
304	3.03000	01:04:03.07:00	209.176	1703.946	91.553	172.399	1650.853	145.611	159.418	1657.817	32.784	354.834	1428.761	90.761	395.365	1219.027	106.672	370.183	1090.687	97.692	388.006	1026.217	98.912	148.391	1000.401	103.076	154.567	1143.043	94.634	168.280	1297.655	89.619	398.210	1296.731	183.565	285.747	1398.983	295.853	236.710	1268.483	303.504	353.160	1257.815	298.215	312.136	1026.179	255.328	271.156	1043.160	345.143	256.947	854.967	345.756	210.232	870.934	275.001	273.997	1380.133	-98.452	403.488	1301.981	20.110	237.697	1276.737	-94.492	368.373	1261.892	-93.021	205.584	1348.647	8.739	320.247	1009.462	-65.809	290.943	1040.341	-149.636	235.723	1003.735	-144.821	250.917	826.350	-160.338	199.450	847.349	-92.066	186.888	1007.564	207.172	186.763	1000.065	-14.126	350.848	1029.833	211.450	366.124	1019.743	-26.940	206.457	802.058	260.517	342.044	879.588	256.915	278.912	452.156	230.342	281.682	447.011	124.538	264.218	311.188	202.292	295.970	41.969	225.371	360.807	8.551	185.911	141.910	7.276	170.030	176.889	20.467	156.816	195.395	5.087	231.047	209.304	710.926	-68.295	325.806	894.284	-78.759	270.089	451.281	-49.748	276.417	452.288	54.423	262.596	305.019	-26.899	309.325	42.689	-38.397	368.155	7.733	-4.040	145.668	2.695	11.477	178.729	19.471	6.749	206.838	10.276	-52.398	175.511	704.712	-83.371	203.573	653.944	-85.764	230.740	675.717	-114.653	191.511	715.191	266.493	240.714	662.778	270.614	265.852	686.284	301.849	220.307	1003.974	316.508	196.401	1359.638	180.725	295.121	1581.702	4.081	318.512	1572.563	144.063	171.943	738.217	-150.255	197.048	743.948	334.438
305	3.04000	01:04:03.07:01	209.587	1703.953	91.323	172.683	1650.925	145.346	159.803	1657.876	32.509	354.929	1428.674	90.638	395.325	1218.901	106.539	370.069	1090.624	97.485	387.910	1026.214	98.605	148.245	1000.339	102.679	154.431	1143.065	94.331	168.266	1297.664	89.353	398.119	1296.563	183.469	285.658	1398.876	295.703	236.533	1268.399	303.255	352.958	1257.656	298.120	311.908	1026.032	255.117	270.841	1043.011	344.861	256.496	854.860	345.425	209.911	870.829	274.577	274.131	1380.140	-98.663	403.540	1301.815	19.925	237.792	1276.757	-94.721	368.495	1261.889	-93.127	205.599	1348.710	8.501	320.382	1009.459	-65.847	291.106	1040.296	-149.709	235.899	1003.711	-144.954	251.114	826.308	-160.372	199.590	847.312	-92.111	186.725	1007.486	206.811	186.683	1000.042	-14.453	350.686	1029.774	211.135	366.057	1019.774	-27.186	206.317	801.994	260.220	341.895	879.539	256.509	279.200	452.157	230.167	282.043	447.017	124.370	264.484	311.227	202.171	295.932	42.006	225.354	360.809	8.549	185.859	141.814	7.146	170.007	176.796	20.432	156.809	195.392	5.083	231.010	209.489	710.849	-68.769	325.772	894.243	-78.911	270.453	451.253	-50.070	276.634	452.277	54.082	262.849	305.067	-27.218	309.281	42.648	-38.522	368.080	7.784	-4.040	145.689	1.829	12.323	178.459	19.364	6.592	206.693	10.066	-52.678	175.664	704.676	-83.401	203.784	653.963	-85.736	230.928	675.700	-114.620	191.235	715.096	265.963	240.420	662.697	270.146	265.494	686.206	301.424	219.987	1003.858	316.136	196.370	1359.640	180.477	295.492	1581.602	3.975	318.686	1572.478	143.969	172.100	738.167	-150.292	196.638	743.791	333.916
306	3.05000	01:04:03.07:02	210.005	1703.973	91.109	172.976	1651.015	145.103	160.208	1657.955	32.231	355.021	1428.560	90.547	395.279	1218.745	106.382	369.943	1090.509	97.201	387.716	1026.198	98.313	148.095	1000.299	102.358	154.283	1143.109	94.036	167.926	1297.653	89.330	398.093	1296.436	183.396	285.572	1398.770	295.563	236.391	1268.321	303.068	352.733	1257.473	297.976	311.701	1025.894	254.873	270.504	1042.859	344.606	256.080	854.709	345.021	209.623	870.765	274.160	274.235	1380.175	-98.846	403.532	1301.772	19.849	237.879	1276.799	-94.978	368.590	1261.879	-93.241	205.638	1348.754	8.275	320.432	1009.472	-65.875	291.242	1040.271	-149.808	236.050	1003.672	-145.044	251.302	826.271	-160.401	199.787	847.282	-92.122	186.526	1007.409	206.468	186.559	1000.014	-14.827	350.512	1029.748	210.810	366.499	1020.119	-25.300	206.176	801.914	259.926	341.721	879.511	256.163	279.493	452.140	229.962	282.462	446.991	124.195	264.748	311.270	202.070	295.887	42.045	225.334	360.782	8.547	185.818	141.658	6.922	169.928	176.623	20.365	156.842	195.382	5.089	231.063	209.684	710.812	-69.246	325.767	894.141	-79.059	270.846	451.218	-50.413	276.868	452.260	53.724	263.147	305.124	-27.542	309.222	42.609	-38.637	367.985	7.857	-4.052	145.467	1.490	12.216	178.200	19.296	6.407	206.552	9.860	-52.907	175.875	704.658	-83.411	203.992	653.969	-85.706	231.140	675.695	-114.598	190.900	715.041	265.414	240.013	662.569	269.627	265.082	686.051	301.005	219.679	1003.776	315.760	196.372	1359.290	180.554	295.834	1581.512	3.884	318.883	1572.344	143.880	172.271	738.099	-150.315	196.187	743.716	333.336
307	3.06000	01:04:03.07:03	210.436	1703.984	90.932	173.285	1651.097	144.882	160.626	1658.034	32.023	355.091	1428.468	90.460	395.214	1218.600	106.243	369.834	1090.438	96.951	387.561	1026.157	98.056	147.933	1000.241	101.948	154.128	1143.126	93.697	167.906	1297.675	89.047	397.996	1296.289	183.299	285.469	1398.645	295.441	236.228	1268.186	302.879	352.562	1257.339	297.815	311.426	1025.774	254.631	270.194	1042.723	344.376	255.649	854.587	344.684	209.284	870.690	273.714	274.323	1380.216	-99.020	403.571	1301.672	19.684	237.968	1276.824	-95.195	368.684	1261.916	-93.331	205.633	1348.825	8.044	320.544	1009.498	-65.976	291.392	1040.272	-149.894	236.194	1003.665	-145.157	251.482	826.245	-160.447	199.903	847.286	-92.257	186.327	1007.339	206.084	186.443	1000.005	-15.201	350.671	1030.793	211.589	366.440	1020.116	-25.475	206.025	801.831	259.630	341.517	879.490	255.869	279.770	452.146	229.777	282.845	446.960	124.071	264.999	311.314	201.945	295.839	42.085	225.311	360.745	8.564	185.747	141.497	6.474	169.908	176.404	20.263	156.831	195.349	5.077	231.073	209.850	710.775	-69.650	325.796	894.084	-79.173	271.275	451.191	-50.751	277.136	452.273	53.417	263.441	305.189	-27.846	309.181	42.570	-38.722	367.919	7.945	-4.066	145.240	1.211	12.059	177.980	19.160	6.211	206.424	9.661	-53.161	176.114	704.614	-83.431	204.217	653.976	-85.668	231.407	675.704	-114.561	190.501	714.969	264.863	239.577	662.528	269.100	264.618	685.956	300.490	219.445	1003.572	315.586	196.330	1359.281	180.363	296.145	1581.381	3.791	319.042	1572.189	143.820	172.516	738.042	-150.387	195.716	743.593	332.848
308	3.07000	01:04:03.08:00	210.876	1703.997	90.775	173.586	1651.184	144.707	161.012	1658.137	31.819	355.155	1428.386	90.394	395.121	1218.478	106.116	369.705	1090.357	96.749	387.393	1026.127	97.821	147.745	1000.168	101.543	153.962	1143.167	93.350	167.851	1297.678	88.807	397.928	1296.101	183.237	285.399	1398.508	295.296	236.079	1268.086	302.683	352.402	1257.199	297.739	311.196	1025.638	254.420	269.921	1042.568	344.112	255.235	854.445	344.280	208.975	870.645	273.266	274.394	1380.256	-99.176	403.584	1301.599	19.574	238.015	1276.872	-95.399	368.760	1261.952	-93.440	205.605	1348.884	7.831	320.726	1009.530	-66.042	291.553	1040.266	-149.984	236.359	1003.635	-145.301	251.715	826.179	-160.463	200.101	847.256	-92.293	186.071	1007.248	205.723	186.345	999.973	-15.552	350.432	1030.745	211.306	366.377	1020.122	-25.786	205.863	801.737	259.316	341.305	879.432	255.565	280.002	452.146	229.616	283.218	446.921	123.939	265.226	311.350	201.839	295.796	42.123	225.283	360.713	8.582	185.680	141.330	6.147	169.810	176.215	20.184	156.818	195.343	5.067	231.072	210.022	710.685	-70.082	325.809	894.029	-79.306	271.681	451.143	-51.066	277.406	452.268	53.070	263.731	305.252	-28.137	309.149	42.522	-38.812	367.867	7.960	-4.073	145.069	1.020	11.923	177.763	19.073	6.037	206.293	9.454	-53.372	176.339	704.585	-83.428	204.510	654.012	-85.632	231.674	675.714	-114.511	190.051	714.940	264.258	238.953	662.475	268.493	264.091	685.843	299.943	219.171	1003.467	315.236	196.274	1359.259	180.174	296.432	1581.256	3.731	319.170	1572.033	143.760	172.756	737.992	-150.442	195.218	743.535	332.247
309	3.08000	01:04:03.08:01	211.313	1704.019	90.620	173.865	1651.280	144.537	161.417	1658.262	31.634	355.173	1428.269	90.359	395.017	1218.350	105.984	369.575	1090.280	96.590	387.265	1026.094	97.636	147.560	1000.075	101.189	153.804	1143.175	93.025	167.804	1297.675	88.570	397.844	1295.946	183.151	285.310	1398.351	295.177	235.916	1267.950	302.522	352.304	1257.074	297.651	311.006	1025.551	254.238	269.654	1042.410	343.824	254.818	854.305	343.895	208.593	870.570	272.848	274.461	1380.321	-99.307	403.275	1301.463	19.770	238.076	1276.922	-95.603	368.814	1261.987	-93.549	205.567	1348.965	7.626	320.845	1009.602	-66.112	291.668	1040.276	-150.054	236.526	1003.621	-145.433	251.928	826.171	-160.527	200.294	847.241	-92.359	185.840	1007.139	205.345	186.286	999.956	-15.927	350.181	1030.672	211.053	366.317	1020.133	-25.886	205.691	801.612	258.975	341.074	879.406	255.274	280.225	452.135	229.454	283.626	446.870	123.778	265.450	311.377	201.704	295.763	42.157	225.248	360.698	8.580	185.619	141.235	5.959	169.807	176.066	20.135	156.806	195.328	5.024	231.052	210.264	710.549	-70.542	325.846	893.968	-79.452	272.143	451.095	-51.386	277.782	452.256	52.732	264.024	305.325	-28.397	309.114	42.487	-38.887	367.813	8.030	-4.090	144.664	1.329	10.819	177.621	18.980	5.877	206.214	9.262	-53.539	176.582	704.585	-83.452	204.818	654.060	-85.588	231.988	675.729	-114.489	189.575	714.908	263.726	238.424	662.395	267.887	263.579	685.714	299.402	218.900	1003.369	314.932	196.224	1359.217	180.009	296.663	1581.067	3.674	319.301	1571.852	143.721	173.029	737.934	-150.488	194.706	743.403	331.751
